,precision,recall,f1-score,support
healthy,0.9205426356589147,0.9834368530020704,0.950950950950951,483.0
diseased,0.9968992248062015,0.9843092231151933,0.9905642210668207,2613.0
accuracy,0.9841731266149871,0.9841731266149871,0.9841731266149871,0.9841731266149871
macro avg,0.9587209302325581,0.9838730380586318,0.9707575860088858,3096.0
weighted avg,0.984987004987681,0.9841731266149871,0.9843842438491318,3096.0
