epoch,f1_metric,loss,precision,recall,val_f1_metric,val_loss,val_precision,val_recall,learning_rate
0,0.7402856349945068,0.1934896558523178,0.9857534766197205,0.9137888550758362,0.7680001258850098,0.08447433263063431,0.9906578660011292,0.9739762544631958,0.0010000000474974513
1,0.7595490217208862,0.09490178525447845,0.9939692616462708,0.9598884582519531,0.7590908408164978,0.11430936306715012,0.9944356083869934,0.957520067691803,0.0010000000474974513
2,0.762276291847229,0.08349224179983139,0.9946812987327576,0.9664506316184998,0.7781461477279663,0.04265284538269043,0.9870771765708923,0.9938767552375793,0.0010000000474974513
3,0.7646070122718811,0.06808307021856308,0.9954644441604614,0.9721925854682922,0.7574043869972229,0.10041318088769913,0.9992015957832336,0.9579027891159058,0.0010000000474974513
4,0.764445960521698,0.07586293667554855,0.9956331849098206,0.9725207090377808,0.7710446119308472,0.042591582983732224,0.9972931146621704,0.9869881272315979,0.0010000000474974513
5,0.7653905153274536,0.0628051608800888,0.9958903193473816,0.9739972352981567,0.7615138292312622,0.08191002160310745,0.9988137483596802,0.9667049646377563,0.0010000000474974513
6,0.7675743103027344,0.05634211376309395,0.9963284134864807,0.9794110655784607,0.7655648589134216,0.06780143082141876,0.9980415105819702,0.9751243591308594,0.0010000000474974513
7,0.7696508169174194,0.04143160209059715,0.997840166091919,0.985317051410675,0.7667568325996399,0.05797065421938896,0.9984375238418579,0.9781860113143921,0.0005000000237487257
8,0.7676687240600586,0.05445451661944389,0.996327817440033,0.979246973991394,0.7678766846656799,0.053442228585481644,0.9976626634597778,0.9800994992256165,9.999999747378752e-06
9,0.7686066031455994,0.04677056893706322,0.9974179863929749,0.9822819828987122,0.7678970098495483,0.05096496269106865,0.9976626634597778,0.9800994992256165,9.999999747378752e-06
10,0.7687140107154846,0.04171772301197052,0.9977524280548096,0.9831843376159668,0.7679216265678406,0.04866737499833107,0.998052179813385,0.9804822206497192,9.999999747378752e-06
11,0.7695543169975281,0.04366056248545647,0.9969261288642883,0.9843326807022095,0.7633784413337708,0.07149648666381836,0.9992126226425171,0.9712973833084106,9.999999747378752e-06
12,0.7693617939949036,0.03847503662109375,0.9980887770652771,0.9852350354194641,0.7687382102012634,0.047829266637563705,0.9972783923149109,0.9816303253173828,9.999999747378752e-06
