Model,Strategy,accuracy,recall_diseased,precision_diseased,f1_diseased,recall_healthy,f1_healthy
ResNet50,Warm-up (2 fases),0.9987080103359173,0.9988518943742825,0.9996170049789352,0.9992343032159265,0.9979296066252588,0.9958677685950413
DenseNet121,Warm-up (2 fases),0.9841731266149871,0.9843092231151933,0.9968992248062015,0.9905642210668207,0.9834368530020704,0.950950950950951
