epoch,f1_metric,loss,precision,recall,val_f1_metric,val_loss,val_precision,val_recall,learning_rate
0,0.7512187957763672,0.14470882713794708,0.9905839562416077,0.9406118988990784,0.7587816119194031,0.08274777978658676,0.999204158782959,0.9609643816947937,0.0010000000474974513
1,0.7650339007377625,0.06761777400970459,0.9955529570579529,0.9732589721679688,0.755869448184967,0.10261999815702438,0.9991987347602844,0.954458475112915,0.0010000000474974513
2,0.767079770565033,0.0538756400346756,0.9966594576835632,0.9789188504219055,0.7710826992988586,0.040218815207481384,0.9988399147987366,0.9885189533233643,0.0010000000474974513
3,0.76934814453125,0.04344834387302399,0.997173011302948,0.9837585091590881,0.7727236151695251,0.03553157299757004,0.9984591603279114,0.991963267326355,0.0010000000474974513
4,0.7683819532394409,0.047376230359077454,0.996834933757782,0.9817078113555908,0.7695598602294922,0.05158911645412445,0.9992238879203796,0.9854573011398315,0.0010000000474974513
5,0.7699225544929504,0.03842223063111305,0.997593343257904,0.986055314540863,0.7599878907203674,0.10736536234617233,0.9992063641548157,0.9636433124542236,0.0010000000474974513
6,0.7684808969497681,0.04730931296944618,0.997168779373169,0.9822819828987122,0.7679181694984436,0.05234397575259209,0.9992209076881409,0.9816303253173828,0.0010000000474974513
7,0.7704997658729553,0.031700778752565384,0.9975122213363647,0.9867115020751953,0.7702481746673584,0.045362215489149094,0.9988376498222351,0.9866054058074951,0.0010000000474974513
8,0.7706105709075928,0.03318855166435242,0.997597336769104,0.9876958131790161,0.7732545733451843,0.03075619600713253,0.9988456964492798,0.9934940934181213,9.999999747378752e-06
9,0.7729513049125671,0.014972913078963757,0.9991756081581116,0.9941760301589966,0.7757062911987305,0.033536411821842194,0.9980872273445129,0.9984691739082336,9.999999747378752e-06
10,0.7730408310890198,0.014204571023583412,0.9993404150009155,0.9942580461502075,0.7737655639648438,0.031930722296237946,0.9996156692504883,0.9954075813293457,9.999999747378752e-06
11,0.7739511132240295,0.010500692762434483,0.9993417263031006,0.9962267279624939,0.7730804681777954,0.03761593624949455,0.9988452792167664,0.9931113719940186,9.999999747378752e-06
12,0.7742032408714294,0.00754157081246376,0.9997533559799194,0.9974571466445923,0.7744168043136597,0.04018533602356911,0.9988487958908081,0.9961729645729065,9.999999747378752e-06
13,0.7735995650291443,0.009994658641517162,0.9995884895324707,0.9962267279624939,0.775567889213562,0.024432333186268806,0.9988518953323364,0.9988518953323364,9.999999747378752e-06
14,0.7741518020629883,0.007509252987802029,0.9997533559799194,0.9975391626358032,0.7739146947860718,0.038163043558597565,0.9992316365242004,0.9954075813293457,9.999999747378752e-06
15,0.7741463780403137,0.005786186084151268,0.9998355507850647,0.9975391626358032,0.7749185562133789,0.0360649898648262,0.9992334246635437,0.9977037906646729,9.999999747378752e-06
16,0.7747509479522705,0.0034951618872582912,0.999835729598999,0.9986875653266907,0.7749162912368774,0.03364124894142151,0.9992334246635437,0.9977037906646729,9.999999747378752e-06
17,0.7743189334869385,0.005437030456960201,0.9996713995933533,0.9981133341789246,0.7739173769950867,0.04109697416424751,0.9996158480644226,0.9957903027534485,9.999999747378752e-06
18,0.7750475406646729,0.0027971118688583374,0.9997537136077881,0.9990156888961792,0.7752343416213989,0.03685741871595383,0.9992340207099915,0.9984691739082336,4.999999873689376e-06
19,0.7750306129455566,0.0014203677419573069,1.0,0.9994258284568787,0.7749021649360657,0.04367890954017639,0.9992334246635437,0.9977037906646729,4.999999873689376e-06
20,0.7749090194702148,0.0005069711478427052,1.0,0.9998359680175781,0.7739071249961853,0.052237242460250854,0.9992316365242004,0.9954075813293457,4.999999873689376e-06
21,0.7745692133903503,0.0036745143588632345,0.999835729598999,0.9986875653266907,0.7744394540786743,0.04122432693839073,0.999616265296936,0.9969384074211121,4.999999873689376e-06
